"substance","marker_residue","species","MRL","target_tissue","other_provisions","therapeutic_class","MRL_value","MRL_units","target_tissue_comb"
"Imidocarb","Imidocarb","Ovine","300 μg/kg","Muscle","Not for use in animals from which milk is produced for human consumption.","Antiparasitic agents/Agents acting against protozoa",300,"μg/kg","muscle"
"Imidocarb","Imidocarb","Ovine","50 μg/kg","Fat","Not for use in animals from which milk is produced for human consumption.","Antiparasitic agents/Agents acting against protozoa",50,"μg/kg","fat"
"Imidocarb","Imidocarb","Ovine","2 000  μg/kg","Liver","Not for use in animals from which milk is produced for human consumption.","Antiparasitic agents/Agents acting against protozoa",2000,"μg/kg","liver"
"Imidocarb","Imidocarb","Ovine","1 500  μg/kg","Kidney","Not for use in animals from which milk is produced for human consumption.","Antiparasitic agents/Agents acting against protozoa",1500,"μg/kg","kidney"
"Inosine and its 5’-mono-, 5’-di- and 5’-triphosphates","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Inositol","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Iodine and iodine inorganic compounds including:
                           
                              — Sodium and potassium-iodide
                           
                           
                              — Sodium and potassium-iodate
                           
                           
                              — Iodophors including polyvinylpyrrolidone-iodine","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Iodine organic compounds
                           
                              — Iodoform","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Iron ammonium citrate","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Iron dextran","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Iron dichloride","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Iron fumarate","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Iron glucoheptonate","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Iron sulphate","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Isobutane","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Isoeugenol","Isoeugenol","Fin fish","6 000  μg/kg","Muscle and skin in natural proportions","NOT APPLICABLE","Agents acting on the nervous system/Agents acting on the central nervous system",6000,"μg/kg","skin_muscle"
"Isoflurane","NOT APPLICABLE","Equidae","No MRL required","NOT APPLICABLE","For use by inhalation","General anaesthetics",NA,NA,NA
"Isoflurane","NOT APPLICABLE","Porcine","No MRL required","NOT APPLICABLE","For use by inhalation in piglets up to 7 days of age","General anaesthetics",NA,NA,NA
"Isoleucine","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Isopropanol","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Isoxsuprine","NOT APPLICABLE","Bovine, Equidae","No MRL required","NOT APPLICABLE","For therapeutic use only in accordance with Council Directive 96/22/EEC.","NO ENTRY",NA,NA,NA
"Ivermectin","22, 23-Dihydro-avermectin B 1a","All mammalian food producing species","30 μg/kg","Muscle","For porcine species the fat MRL relates to ‘skin and fat in natural proportions’
                           Not for use in animals from which milk is produced for human consumption","Antiparasitic agents/Agents acting against endo and ectoparasites",30,"μg/kg","muscle"
"Ivermectin","22, 23-Dihydro-avermectin B 1a","All mammalian food producing species","100 μg/kg","Fat","For porcine species the fat MRL relates to ‘skin and fat in natural proportions’
                           Not for use in animals from which milk is produced for human consumption","Antiparasitic agents/Agents acting against endo and ectoparasites",100,"μg/kg","fat"
"Ivermectin","22, 23-Dihydro-avermectin B 1a","All mammalian food producing species","100 μg/kg","Liver","For porcine species the fat MRL relates to ‘skin and fat in natural proportions’
                           Not for use in animals from which milk is produced for human consumption","Antiparasitic agents/Agents acting against endo and ectoparasites",100,"μg/kg","liver"
"Ivermectin","22, 23-Dihydro-avermectin B 1a","All mammalian food producing species","30 μg/kg","Kidney","For porcine species the fat MRL relates to ‘skin and fat in natural proportions’
                           Not for use in animals from which milk is produced for human consumption","Antiparasitic agents/Agents acting against endo and ectoparasites",30,"μg/kg","kidney"
"Jecoris oleum","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","For topical use only.","NO ENTRY",NA,NA,NA
"Juniperi fructus","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Kanamycin","Kanamycin A","All food producing species except fin fish","100 μg/kg","Muscle","For porcine and poultry species the fat MRL relates to ‘skin and fat in natural proportions’.
                           Not for use in animals from which eggs are produced for human consumption.","Anti-infectious agents/Antibiotics",100,"μg/kg","muscle"
"Kanamycin","Kanamycin A","All food producing species except fin fish","100 μg/kg","Fat","For porcine and poultry species the fat MRL relates to ‘skin and fat in natural proportions’.
                           Not for use in animals from which eggs are produced for human consumption.","Anti-infectious agents/Antibiotics",100,"μg/kg","fat"
"Kanamycin","Kanamycin A","All food producing species except fin fish","600 μg/kg","Liver","For porcine and poultry species the fat MRL relates to ‘skin and fat in natural proportions’.
                           Not for use in animals from which eggs are produced for human consumption.","Anti-infectious agents/Antibiotics",600,"μg/kg","liver"
"Kanamycin","Kanamycin A","All food producing species except fin fish","2 500  μg/kg","Kidney","For porcine and poultry species the fat MRL relates to ‘skin and fat in natural proportions’.
                           Not for use in animals from which eggs are produced for human consumption.","Anti-infectious agents/Antibiotics",2500,"μg/kg","kidney"
"Kanamycin","Kanamycin A","All food producing species except fin fish","150 μg/kg","Milk","For porcine and poultry species the fat MRL relates to ‘skin and fat in natural proportions’.
                           Not for use in animals from which eggs are produced for human consumption.","Anti-infectious agents/Antibiotics",150,"μg/kg","milk"
"Ketamine","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Ketanserin tartrate","NOT APPLICABLE","Equidae","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Ketoprofen","NOT APPLICABLE","Bovine,","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Ketoprofen","NOT APPLICABLE","Porcine,","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Ketoprofen","NOT APPLICABLE","Equidae","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Ketoprofen","Ketoprofen","Poultry","10  μg/kg","Muscle","Not for use in animals from which eggs are produced for human consumption","NO ENTRY",10,"μg/kg","muscle"
"Ketoprofen","Ketoprofen","Poultry","30  μg/kg","Skin and fat in natural proportion","Not for use in animals from which eggs are produced for human consumption","NO ENTRY",30,"μg/kg","skin_fat"
"Ketoprofen","Ketoprofen","Poultry","10  μg/kg","Liver","Not for use in animals from which eggs are produced for human consumption","NO ENTRY",10,"μg/kg","liver"
"Ketoprofen","Ketoprofen","Poultry","10  μg/kg","Kidney","Not for use in animals from which eggs are produced for human consumption","NO ENTRY",10,"μg/kg","kidney"
"Lachnanthes tinctoria","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","For use in homeopathic veterinary medicinal products prepared according to homeopathic pharmacopoeias at concentrations in the products not exceeding one part per thousand only.","NO ENTRY",NA,NA,NA
"Lactic acid","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Lanolin","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Lasalocid","Lasalocid A","Poultry","60 μg/kg","Muscle","NO ENTRY","Anti-infectious agents/Antibiotics",60,"μg/kg","muscle"
"Lasalocid","Lasalocid A","Poultry","300 μg/kg","Liver","NO ENTRY","Anti-infectious agents/Antibiotics",300,"μg/kg","liver"
"Lasalocid","Lasalocid A","Poultry","150 μg/kg","Kidney","NO ENTRY","Anti-infectious agents/Antibiotics",150,"μg/kg","kidney"
"Lasalocid","Lasalocid A","Poultry","300 μg/kg","Skin and fat in natural proportions","NO ENTRY","Anti-infectious agents/Antibiotics",300,"μg/kg","skin_fat"
"Lasalocid","Lasalocid A","Poultry","150 μg/kg","Eggs","NO ENTRY","Anti-infectious agents/Antibiotics",150,"μg/kg","eggs"
"Lasalocid","Lasalocid A","Bovine","10 μg/kg","Muscle","Not for use in animals from which milk is produced for human consumption","Anti-infectious agents/Antibiotics",10,"μg/kg","muscle"
"Lasalocid","Lasalocid A","Bovine","20 μg/kg","Fat","Not for use in animals from which milk is produced for human consumption","Anti-infectious agents/Antibiotics",20,"μg/kg","fat"
"Lasalocid","Lasalocid A","Bovine","100 μg/kg","Liver","Not for use in animals from which milk is produced for human consumption","Anti-infectious agents/Antibiotics",100,"μg/kg","liver"
"Lasalocid","Lasalocid A","Bovine","20 μg/kg","Kidney","Not for use in animals from which milk is produced for human consumption","Anti-infectious agents/Antibiotics",20,"μg/kg","kidney"
"Lauri folii aetheroleum","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Lauri fructus","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Lavandulae aetheroleum","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","For topical use only.","NO ENTRY",NA,NA,NA
"Lecirelin","NOT APPLICABLE","Bovine, Equidae, rabbit","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Lectin extracted from red kidney beans Phaseolus vulgaris","NOT APPLICABLE","Porcine","No MRL required","NOT APPLICABLE","For oral use only.","NO ENTRY",NA,NA,NA
"Lespedeza capitata","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Leucine","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Levamisole","Levamisole","Bovine, ovine, porcine, poultry","10 μg/kg","Muscle","For porcine and poultry species the fat MRL relates to ‘skin and fat in natural proportions’.
                           Not for use in animals from which milk or eggs are produced for human consumption.","Antiparasitic agents/Agents against endoparasites",10,"μg/kg","muscle"
"Levamisole","Levamisole","Bovine, ovine, porcine, poultry","10 μg/kg","Fat","For porcine and poultry species the fat MRL relates to ‘skin and fat in natural proportions’.
                           Not for use in animals from which milk or eggs are produced for human consumption.","Antiparasitic agents/Agents against endoparasites",10,"μg/kg","fat"
"Levamisole","Levamisole","Bovine, ovine, porcine, poultry","100 μg/kg","Liver","For porcine and poultry species the fat MRL relates to ‘skin and fat in natural proportions’.
                           Not for use in animals from which milk or eggs are produced for human consumption.","Antiparasitic agents/Agents against endoparasites",100,"μg/kg","liver"
"Levamisole","Levamisole","Bovine, ovine, porcine, poultry","10 μg/kg","Kidney","For porcine and poultry species the fat MRL relates to ‘skin and fat in natural proportions’.
                           Not for use in animals from which milk or eggs are produced for human consumption.","Antiparasitic agents/Agents against endoparasites",10,"μg/kg","kidney"
"Levomethadone","NOT APPLICABLE","Equidae","No MRL required","NOT APPLICABLE","For intravenous use only.","NO ENTRY",NA,NA,NA
"Levothyroxine","NOT APPLICABLE","All mammalian food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Lidocaine","NOT APPLICABLE","Equidae","No MRL required","NOT APPLICABLE","For local/regional anaesthesia only.","Local anaesthetic",NA,NA,NA
"Lidocaine","NOT APPLICABLE","Porcine","No MRL required","NOT APPLICABLE","For use in piglets up to 7 days of age only.
                           For cutaneous and epilesional use only.","Local anaesthetic",NA,NA,NA
"Lidocaine","Lidocaine","Bovine","150 μg/kg","Muscle","NOT APPLICABLE","Local anaesthetic",150,"μg/kg","muscle"
"Lidocaine","Lidocaine","Bovine","200 μg/kg","Fat","NOT APPLICABLE","Local anaesthetic",200,"μg/kg","fat"
"Lidocaine","Lidocaine","Bovine","1 μg/kg","Liver","NOT APPLICABLE","Local anaesthetic",1,"μg/kg","liver"
"Lidocaine","Lidocaine","Bovine","200 μg/kg","Kidney","NOT APPLICABLE","Local anaesthetic",200,"μg/kg","kidney"
"Lidocaine","Lidocaine","Bovine","30 μg/kg","Milk","NOT APPLICABLE","Local anaesthetic",30,"μg/kg","milk"
"Lincomycin","Lincomycin","All food-producing species","100 μg/kg","Muscle","For fin fish the muscle MRL relates to ‘muscle and skin in natural proportions’.
                           MRLs for fat, liver and kidney do not apply to fin fish.
                           For porcine and poultry species the fat MRL relates to ‘skin and fat in natural proportions’.","Anti-infectious agents/Antibiotics",100,"μg/kg","muscle"
"Lincomycin","Lincomycin","All food-producing species","50 μg/kg","Fat","For fin fish the muscle MRL relates to ‘muscle and skin in natural proportions’.
                           MRLs for fat, liver and kidney do not apply to fin fish.
                           For porcine and poultry species the fat MRL relates to ‘skin and fat in natural proportions’.","Anti-infectious agents/Antibiotics",50,"μg/kg","fat"
"Lincomycin","Lincomycin","All food-producing species","500 μg/kg","Liver","For fin fish the muscle MRL relates to ‘muscle and skin in natural proportions’.
                           MRLs for fat, liver and kidney do not apply to fin fish.
                           For porcine and poultry species the fat MRL relates to ‘skin and fat in natural proportions’.","Anti-infectious agents/Antibiotics",500,"μg/kg","liver"
"Lincomycin","Lincomycin","All food-producing species","1 500  μg/kg","Kidney","For fin fish the muscle MRL relates to ‘muscle and skin in natural proportions’.
                           MRLs for fat, liver and kidney do not apply to fin fish.
                           For porcine and poultry species the fat MRL relates to ‘skin and fat in natural proportions’.","Anti-infectious agents/Antibiotics",1500,"μg/kg","kidney"
"Lincomycin","Lincomycin","All food-producing species","150 μg/kg","Milk","For fin fish the muscle MRL relates to ‘muscle and skin in natural proportions’.
                           MRLs for fat, liver and kidney do not apply to fin fish.
                           For porcine and poultry species the fat MRL relates to ‘skin and fat in natural proportions’.","Anti-infectious agents/Antibiotics",150,"μg/kg","milk"
"Lincomycin","Lincomycin","All food-producing species","50 μg/kg","Eggs","For fin fish the muscle MRL relates to ‘muscle and skin in natural proportions’.
                           MRLs for fat, liver and kidney do not apply to fin fish.
                           For porcine and poultry species the fat MRL relates to ‘skin and fat in natural proportions’.","Anti-infectious agents/Antibiotics",50,"μg/kg","eggs"
"Linear alkyl benzene sulphonic acids with alkyl chain lengths ranging from C9 to C13, containing less than 2,5 % of chains longer than C13","NOT APPLICABLE","Bovine, ovine","No MRL required","NOT APPLICABLE","For topical use only.","NO ENTRY",NA,NA,NA
"Lini oleum","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Lobaria pulmonaria","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","For use in homeopathic veterinary medicinal products prepared according to homeopathic pharmacopoeias at concentrations corresponding to the mother tincture and dilutions thereof only.","NO ENTRY",NA,NA,NA
"Lobeline","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Lufenuron
                           (RS-isomers)","Lufenuron
                           (RS-isomers)","Fin fish","1 350  μg/kg","Muscle and skin in natural proportions","NO ENTRY","Antiparasitic agents/Agents (acting) against ectoparasites",1350,"μg/kg","skin_muscle"
"Luprostiol","NOT APPLICABLE","All mammalian food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Luteinising hormone (natural LH from all species and their synthetic analogues)","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Lysine","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Magnesium","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Magnesium acetate","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Magnesium aluminium silicate","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Magnesium aspartate","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Magnesium carbonate","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Magnesium chloride","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Magnesium citrate","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Magnesium gluconate","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Magnesium glutamate","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Magnesium glycerophosphate","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Magnesium hydroxide","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Magnesium hypophosphite","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Magnesium orotate","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Magnesium oxide","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Magnesium phosphate","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Magnesium stearate","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Magnesium sulphate","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Magnesium trisilicate","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Majoranae herba","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Malic acid","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","For use as excipient.","NO ENTRY",NA,NA,NA
"Manganese carbonate","NOT APPLICABLE","All food producing species","NO MRL REQUIRED","NOT APPLICABLE","NO ENTRY","Alimentary tract and metabolism/mineral supplements",NA,NA,NA
"Manganese chloride","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","For oral use only.","NO ENTRY",NA,NA,NA
"Manganese gluconate","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","For oral use only.","NO ENTRY",NA,NA,NA
"Manganese glycerophosphate","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","For oral use only.","NO ENTRY",NA,NA,NA
"Manganese oxide","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","For oral use only.","NO ENTRY",NA,NA,NA
"Manganese pidolate","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","For oral use only.","NO ENTRY",NA,NA,NA
"Manganese ribonucleate","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","For oral use only.","NO ENTRY",NA,NA,NA
"Manganese sulphate","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","For oral use only.","NO ENTRY",NA,NA,NA
"Mannitol","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Marbofloxacin","Marbofloxacin","Bovine, porcine","150 μg/kg","Muscle","For porcine species the fat MRL relates to ‘skin and fat in natural proportions’.","Anti-infectious agents/Antibiotics",150,"μg/kg","muscle"
"Marbofloxacin","Marbofloxacin","Bovine, porcine","50 μg/kg","Fat","For porcine species the fat MRL relates to ‘skin and fat in natural proportions’.","Anti-infectious agents/Antibiotics",50,"μg/kg","fat"
"Marbofloxacin","Marbofloxacin","Bovine, porcine","150 μg/kg","Liver","For porcine species the fat MRL relates to ‘skin and fat in natural proportions’.","Anti-infectious agents/Antibiotics",150,"μg/kg","liver"
"Marbofloxacin","Marbofloxacin","Bovine, porcine","150 μg/kg","Kidney","For porcine species the fat MRL relates to ‘skin and fat in natural proportions’.","Anti-infectious agents/Antibiotics",150,"μg/kg","kidney"
"Marbofloxacin","Marbofloxacin","Bovine","75 μg/kg","Milk","For porcine species the fat MRL relates to ‘skin and fat in natural proportions’.","Anti-infectious agents/Antibiotics",75,"μg/kg","milk"
"Matricaria recutita and preparations thereof","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Matricariae flos","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Mebendazole","Sum of mebendazole methyl (5-(1-hydroxy, 1-phenyl) methyl-1H-benzimidazol-2-yl) carbamate and (2-amino-1H-benzimidazol-5-yl) phenylmethanone, expressed as mebendazole equivalents","Ovine, caprine, Equidae","60 μg/kg","Muscle","Not for use in animals from which milk is produced for human consumption.","Antiparasitic agents/Agents against endoparasites",60,"μg/kg","muscle"
"Mebendazole","Sum of mebendazole methyl (5-(1-hydroxy, 1-phenyl) methyl-1H-benzimidazol-2-yl) carbamate and (2-amino-1H-benzimidazol-5-yl) phenylmethanone, expressed as mebendazole equivalents","Ovine, caprine, Equidae","60 μg/kg","Fat","Not for use in animals from which milk is produced for human consumption.","Antiparasitic agents/Agents against endoparasites",60,"μg/kg","fat"
"Mebendazole","Sum of mebendazole methyl (5-(1-hydroxy, 1-phenyl) methyl-1H-benzimidazol-2-yl) carbamate and (2-amino-1H-benzimidazol-5-yl) phenylmethanone, expressed as mebendazole equivalents","Ovine, caprine, Equidae","400 μg/kg","Liver","Not for use in animals from which milk is produced for human consumption.","Antiparasitic agents/Agents against endoparasites",400,"μg/kg","liver"
"Mebendazole","Sum of mebendazole methyl (5-(1-hydroxy, 1-phenyl) methyl-1H-benzimidazol-2-yl) carbamate and (2-amino-1H-benzimidazol-5-yl) phenylmethanone, expressed as mebendazole equivalents","Ovine, caprine, Equidae","60 μg/kg","Kidney","Not for use in animals from which milk is produced for human consumption.","Antiparasitic agents/Agents against endoparasites",60,"μg/kg","kidney"
"Mecillinam","NOT APPLICABLE","Bovine","No MRL required","NOT APPLICABLE","For intrauterine use only.","NO ENTRY",NA,NA,NA
"Medicago sativa extractum","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","For topical use only.","NO ENTRY",NA,NA,NA
"Medroxyprogesterone acetate","NOT APPLICABLE","Ovine","No MRL required","NOT APPLICABLE","For intravaginal use for zootechnical purposes only.","NO ENTRY",NA,NA,NA
"Melatonin","NOT APPLICABLE","Ovine, caprine","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Melissae aetheroleum","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Melissae folium","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Meloxicam","Meloxicam","Bovine, caprine, porcine, rabbit, Equidae","20 μg/kg","Muscle","NO ENTRY","Anti-inflammatory agents/Nonsteroidal anti-inflammatory agents",20,"μg/kg","muscle"
"Meloxicam","Meloxicam","Bovine, caprine, porcine, rabbit, Equidae","65 μg/kg","Liver","NO ENTRY","Anti-inflammatory agents/Nonsteroidal anti-inflammatory agents",65,"μg/kg","liver"
"Meloxicam","Meloxicam","Bovine, caprine, porcine, rabbit, Equidae","65 μg/kg","Kidney","NO ENTRY","Anti-inflammatory agents/Nonsteroidal anti-inflammatory agents",65,"μg/kg","kidney"
"Meloxicam","Meloxicam","Bovine, caprine","15 μg/kg","Milk","NO ENTRY","Anti-inflammatory agents/Nonsteroidal anti-inflammatory agents",15,"μg/kg","milk"
"Menadione","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Menbutone","NOT APPLICABLE","Bovine, ovine, caprine, porcine, Equidae","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Menthae arvensis aetheroleum","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Menthae piperitae aetheroleum","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Menthol","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Mepivacaine","NOT APPLICABLE","Equidae","No MRL required","NOT APPLICABLE","For intra-articular and epidural use as local anaesthetic only.","NO ENTRY",NA,NA,NA
"Mercaptamine hydrochloride","NOT APPLICABLE","All mammalian food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Metamizole","4-Methylaminoantipyrin","Bovine, porcine, Equidae","100 μg/kg","Muscle","For porcine species the fat MRL relates to ‘skin and fat in natural proportions’.","Anti-inflammatory agents/Nonsteroidal anti-inflammatory agents",100,"μg/kg","muscle"
"Metamizole","4-Methylaminoantipyrin","Bovine, porcine, Equidae","100 μg/kg","Fat","For porcine species the fat MRL relates to ‘skin and fat in natural proportions’.","Anti-inflammatory agents/Nonsteroidal anti-inflammatory agents",100,"μg/kg","fat"
"Metamizole","4-Methylaminoantipyrin","Bovine, porcine, Equidae","100 μg/kg","Liver","For porcine species the fat MRL relates to ‘skin and fat in natural proportions’.","Anti-inflammatory agents/Nonsteroidal anti-inflammatory agents",100,"μg/kg","liver"
"Metamizole","4-Methylaminoantipyrin","Bovine, porcine, Equidae","100 μg/kg","Kidney","For porcine species the fat MRL relates to ‘skin and fat in natural proportions’.","Anti-inflammatory agents/Nonsteroidal anti-inflammatory agents",100,"μg/kg","kidney"
"Metamizole","4-Methylaminoantipyrin","Bovine","50 μg/kg","Milk","For porcine species the fat MRL relates to ‘skin and fat in natural proportions’.","Anti-inflammatory agents/Nonsteroidal anti-inflammatory agents",50,"μg/kg","milk"
"Methionine","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Methyl nicotinate","NOT APPLICABLE","Bovine, Equidae","No MRL required","NOT APPLICABLE","For topical use only.","NO ENTRY",NA,NA,NA
"Methyl salicylate","NOT APPLICABLE","All food producing species except fin fish","No MRL required","NOT APPLICABLE","For topical use only.","NO ENTRY",NA,NA,NA
"Methylbenzoate","NOT APPLICABLE","All food producing species","No MRL required","NOT APPLICABLE","NO ENTRY","NO ENTRY",NA,NA,NA
"Methylprednisolone","Methylprednisolone","Equidae","10 μg/kg","Muscle","NO ENTRY","Corticoides/Glucocorticoides",10,"μg/kg","muscle"
"Methylprednisolone","Methylprednisolone","Equidae","10 μg/kg","Fat","NO ENTRY","Corticoides/Glucocorticoides",10,"μg/kg","fat"
"Methylprednisolone","Methylprednisolone","Equidae","10 μg/kg","Liver","NO ENTRY","Corticoides/Glucocorticoides",10,"μg/kg","liver"
